postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines) ,Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB) for lines < 10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines,Average data usage (GB),Median download speed (Mbit/s)__Score,Overall_Score
AB101AU,AB10 1AU,AB,0.1503957783641161,17.4,8.1,72.2,8.7,15.9,72.2,,1.1,1.9,0.4,20.0,1.0,1.1,20.0,,,,,20.0,,,,202.0,196.0,172.0,,196,-1.3050174786139674,0.9279588058881068
AB101BA,AB10 1BA,AB,0.20448548812664907,18.8,7.8,23.8,8.7,19.8,72.2,,1.1,1.1,0.4,1.3,0.6,1.1,20.0,,,,,20.0,,,,31.0,202.0,172.0,,182,-0.7170425706670153,0.9279588058881068
AB101BB,AB10 1BB,AB,0.1279683377308707,17.3,4.7,69.1,6.5,16.0,69.1,,1.1,2.6,0.8,20.0,1.0,1.1,20.0,,,,,7.0,,,,90.0,78.0,258.0,,97,-1.5488119526407524,0.9279588058881068
AB101BD,AB10 1BD,AB,0.12005277044854881,12.9,8.1,16.2,8.1,14.1,69.1,,1.0,0.9,0.7,1.2,0.7,1.0,20.0,,,,,4.0,,,,1.0,81.0,258.0,,65,-1.6348570611207942,0.9279588058881068
AB101FG,AB10 1FG,AB,0.17810026385224273,19.8,14.3,69.0,8.1,17.5,69.0,,1.1,2.0,0.9,20.0,0.7,1.1,20.0,,,,,21.0,,,,1.0,453.0,568.0,,458,-1.0038595989338215,0.9279588058881068
AB101FL,AB10 1FL,AB,0.18337730870712404,17.3,11.5,22.0,8.1,17.3,69.0,,1.1,1.1,0.7,1.3,0.7,1.1,20.0,,,,,23.0,,,,1.0,374.0,568.0,,374,-0.9464961932804596,0.9279588058881068
AB101HF,AB10 1HF,AB,0.133245382585752,13.4,3.7,18.2,3.7,14.6,69.0,,1.1,1.1,0.8,1.2,0.8,1.1,20.0,,,,,8.0,,,,29.0,254.0,568.0,,212,-1.491448546987391,0.9279588058881068
AB101HP,AB10 1HP,AB,0.16094986807387862,15.9,12.9,19.6,3.7,15.9,69.0,,1.1,1.1,1.0,1.3,0.8,1.1,20.0,,,,,9.0,,,,29.0,44.0,568.0,,44,-1.190290667307245,0.9279588058881068
AB101HW,AB10 1HW,AB,0.13720316622691292,18.3,3.9,80.0,8.0,17.4,61.1,,1.2,2.2,0.3,20.0,0.7,1.1,15.2,,,,6.0,14.0,,,,14.0,12.0,75.0,,20,-1.4484259927473706,0.9279588058881068
AB101JE,AB10 1JE,AB,0.12401055408970976,19.2,4.6,69.8,6.3,14.2,69.8,,1.1,3.4,0.4,20.0,0.8,1.0,20.0,,,,6.0,5.0,,,,48.0,514.0,466.0,,391,-1.5918345068807733,0.9279588058881068
AB101JG,AB10 1JG,AB,0.133245382585752,16.4,4.9,55.0,6.3,14.4,55.0,,1.1,1.7,0.7,10.0,1.0,1.0,10.0,,,,6.0,9.0,,,,19.0,147.0,487.0,,154,-1.491448546987391,0.9279588058881068
AB101JJ,AB10 1JJ,AB,0.10554089709762532,15.0,5.1,51.7,7.8,14.9,51.7,,1.1,2.3,0.4,18.0,1.0,1.2,18.0,,,,5.0,8.0,,,,16.0,141.0,264.0,,99,-1.7926064266675377,0.9279588058881068
AB101JL,AB10 1JL,AB,0.12269129287598945,12.6,4.5,18.0,5.8,15.4,51.7,,1.0,1.1,0.7,2.2,0.8,1.3,18.0,,,,5.0,5.0,,,,25.0,183.0,264.0,,138,-1.6061753582941136,0.9279588058881068
AB101JN,AB10 1JN,AB,0.1503957783641161,14.3,4.3,18.5,4.3,16.3,51.7,,1.1,1.0,0.4,1.2,0.4,1.1,18.0,,,,5.0,5.0,,,,14.0,36.0,264.0,,32,-1.3050174786139674,0.9279588058881068
AB101JQ,AB10 1JQ,AB,0.17150395778364116,22.0,8.1,62.6,8.1,17.6,62.6,,1.2,3.5,0.9,20.0,0.9,1.2,20.0,,,,5.0,6.0,,,,20.0,299.0,130.0,,243,-1.0755638560005227,0.9279588058881068
AB101JR,AB10 1JR,AB,0.11873350923482848,13.7,4.0,24.3,4.0,16.1,62.6,,1.1,1.1,0.8,1.3,1.1,1.1,20.0,,,,5.0,4.0,,,,20.0,106.0,130.0,,106,-1.6491979125341347,0.9279588058881068
AB101JS,AB10 1JS,AB,0.15567282321899736,19.5,7.4,40.0,7.4,16.6,40.0,,1.2,2.5,0.9,10.0,0.9,1.1,10.0,,,,5.0,10.0,,,,188.0,311.0,28.0,,234,-1.2476540729606063,0.9279588058881068
